regime,ticker,ann_return,ann_vol,sharpe,skewness,excess_kurtosis,n_days
COVID Crash,AAPL,-1.9044125617933283,0.9176849971778497,-2.075235584813912,0.12219019554309012,0.12654739178669594,30
COVID Crash,CRM,-2.3777890980630816,0.886687937001442,-2.6816526974576567,-0.5384009207199187,1.314496171890935,30
COVID Crash,NOW,-1.8571529993586038,0.9060428075772611,-2.0497408994665394,0.30675863606337744,-0.7347808839563412,30
COVID Crash,SAP,-1.852178830712517,0.7660506761714028,-2.417828073684899,-0.12560595879949557,-0.15307282208674167,30
COVID Crash,PANW,-3.517193474159221,0.9461757797007491,-3.717272783363381,-0.8261196408986733,1.2978776831986294,30
COVID Crash,CRWD,-1.433372735828041,1.1822283408540646,-1.2124330692263263,0.030304117116057242,0.684843337219101,30
COVID Crash,DDOG,-2.2586348860725307,1.003143287191845,-2.251557593925842,-0.3549135683300474,3.080072700616277,30
COVID Crash,ANET,-0.9123958141606657,0.9557934963013155,-0.9545951271811453,0.23070525074647738,0.0721798645812175,30
COVID Crash,MU,-2.663019630403344,1.1571335948409365,-2.30139341064539,-0.6176756849565365,1.0736328637419814,30
COVID Crash,AMD,-1.8803140374207759,1.0736722103980807,-1.7512924514676784,-0.2690638813180461,-0.3088226744543978,30
Zero-Rate Recovery,NVDA,0.9583706361427153,0.439254618978266,2.1818111745118265,-0.04785445176321353,1.184958728457671,421
Zero-Rate Recovery,AVGO,0.5076542685368145,0.3025765583560991,1.677771309499005,-0.3084134301447441,1.5576009793696883,421
Zero-Rate Recovery,TSM,0.5367053777917405,0.3627169593867185,1.4796809575686825,0.47455532544796514,2.3089232085079363,421
Zero-Rate Recovery,SNPS,0.5828319200578145,0.3242608700327322,1.7974167527490477,-0.046059162337494665,1.994653792381885,421
Zero-Rate Recovery,MSFT,0.44301778360190963,0.26032289090479227,1.7018011057811058,-0.14551412276317316,2.0204634790112843,421
Zero-Rate Recovery,AMZN,0.3514203807949924,0.30144728384405056,1.1657772341275918,-0.05048505890535641,2.2219017518791455,421
Zero-Rate Recovery,META,0.3982717703356741,0.34544541926627403,1.1529224245659508,0.20048168277424816,1.9187484185472972,421
Zero-Rate Recovery,GOOG,0.536408392313757,0.27537380109621995,1.947928198610032,0.20952894616159204,3.1873008479220397,421
Zero-Rate Recovery,AAPL,0.5719867644252667,0.3148079593952155,1.8169386997842212,0.02452038350523669,2.8262716935792707,421
Zero-Rate Recovery,CRM,0.4086317182501747,0.37067799494323617,1.1023900091850625,2.0064293370958315,23.05282134336791,421
Zero-Rate Recovery,NOW,0.48808378299098737,0.37902412154261483,1.2877380495059352,-0.04502066827660148,1.651211938574197,421
Zero-Rate Recovery,PLTR,0.6655058591378012,0.7700890076347922,0.8641934276945444,1.0035599884416293,3.307926062036281,294
Zero-Rate Recovery,SAP,0.09005340748801847,0.3371133621911874,0.2671309345398964,-4.523209634134116,56.15968730934,421
Zero-Rate Recovery,PANW,0.721113026005599,0.332277543285451,2.1702129457063837,1.3532064029583675,10.069459464844334,421
Zero-Rate Recovery,CRWD,0.814613214219522,0.5217272338816727,1.5613775960261174,0.09046181935915336,1.650791896139208,421
Zero-Rate Recovery,DDOG,0.957987986975495,0.5472441401081719,1.7505678302670045,0.3246762496168161,5.145698631495296,421
Zero-Rate Recovery,ANET,0.5363666622805218,0.35735462225521414,1.5009366855130855,1.435230364763915,15.171753107345708,421
Zero-Rate Recovery,MU,0.4140459338986597,0.421870132993019,0.9814535363315496,-0.006393238768725125,1.2360465392951339,421
Zero-Rate Recovery,AMD,0.7468186869819624,0.46577628126682397,1.6033849661703596,0.5912143598947942,2.553626398913436,421
Inflation/Rate Shock,NVDA,0.1567314759467227,0.5857354917382346,0.2675806369212915,0.5485578890067445,2.707246862606256,460
Inflation/Rate Shock,AVGO,0.222163930074796,0.35093811255652313,0.633057288809045,0.4995025261036153,1.6754025131494026,460
Inflation/Rate Shock,TSM,-0.16363407889871004,0.36394065201620085,-0.44961748019131936,0.5823642980010844,2.2528476514927864,460
Inflation/Rate Shock,SNPS,0.16276043087724326,0.36626262132621606,0.444381767071663,0.464372481361786,1.7419745017303288,460
Inflation/Rate Shock,MSFT,-0.02516064668704958,0.31626970752768546,-0.07955439957792063,0.0852766124477404,1.1767844602839976,460
Inflation/Rate Shock,AMZN,-0.1762205292817027,0.43349691095454224,-0.4065093079756264,-0.0681553442557983,3.6770133263414118,460
Inflation/Rate Shock,META,-0.042555149246637926,0.5698634297637325,-0.07467604872325541,-1.727587410985536,22.128278749177046,460
Inflation/Rate Shock,GOOG,-0.04236893126872187,0.3511784911109891,-0.12064785384401938,-0.006505866087451234,1.5831483405922708,460
Inflation/Rate Shock,AAPL,0.019244521877810807,0.3044334473484686,0.06321421658962012,0.08102425542848858,1.4727443119114976,460
Inflation/Rate Shock,CRM,-0.1863853071928093,0.4130322042837584,-0.4512609555858269,-0.05893112462373886,2.444078301936355,460
Inflation/Rate Shock,NOW,-0.08072198861309432,0.47734154020382474,-0.16910740384887946,-0.0015516614424653356,1.808543890695065,460
Inflation/Rate Shock,PLTR,-0.13976499528462089,0.7086874298357447,-0.19721669864670066,0.019173187941881834,3.5789849893896,460
Inflation/Rate Shock,SAP,0.003740622953413675,0.2852755699043169,0.013112314365609022,0.16856999515310808,2.6064984815004295,460
Inflation/Rate Shock,PANW,0.13776338801369314,0.44231872986891707,0.3114572789050101,0.4942842611331033,3.475356677356386,460
Inflation/Rate Shock,CRWD,-0.14258576250099,0.5759533517107915,-0.24756477599697663,-0.29754022600400243,1.4707923554751114,460
Inflation/Rate Shock,DDOG,-0.36789995604937187,0.678244610129028,-0.542429605123413,0.005180091023363859,1.0831704269188491,460
Inflation/Rate Shock,ANET,0.21572838589257315,0.4434720434836294,0.48645318022293027,0.1898896348976719,6.486599427706992,460
Inflation/Rate Shock,MU,-0.11551900907031837,0.4381678721383452,-0.2636409842341086,0.22382471424036712,0.7009492320355761,460
Inflation/Rate Shock,AMD,-0.23663575338954268,0.5626114888802827,-0.4206024193720226,-0.016954127159964052,1.1441614447771191,460
AI Boom,NVDA,0.9018109029159114,0.4889797585202854,1.8442704165197046,0.16038856695493073,2.4606589665630607,315
AI Boom,AVGO,0.821206656007655,0.49197273686166054,1.669211715360912,1.1796252345705789,8.595964191781674,315
AI Boom,TSM,0.6567439425059399,0.37812211208609936,1.7368567494841394,0.2974153526942608,1.7535780403415937,315
AI Boom,SNPS,0.04472480187714032,0.3525376364697899,0.12686532514656185,-0.8247687185103613,4.7771975211666575,315
AI Boom,MSFT,0.23109521296904784,0.20151115355046353,1.1468110270689096,-0.8472427936616345,2.100829638082168,315
AI Boom,AMZN,0.4365755370674044,0.2827255257396992,1.5441673896447268,-0.20557466733956814,3.558206312086148,315
AI Boom,META,0.5344008621461842,0.34099115581068806,1.5671986004319527,1.3653064073939893,18.29137260369601,315
AI Boom,GOOG,0.2941377904443861,0.28126773046143194,1.0457573286556558,-0.5418386034315369,6.83266625355971,315
AI Boom,AAPL,0.30419887079833396,0.2135134786507712,1.424729121180637,0.2997992702696658,3.4556511853921514,315
AI Boom,CRM,0.4000054779893466,0.35413833564916175,1.1295175859910986,-2.6061932699924375,32.534980572685996,315
AI Boom,NOW,0.5120475883416448,0.3262648901032743,1.5694228949353506,-0.3392455185422643,8.729032364339306,315
AI Boom,PLTR,1.2426114170496938,0.6176381281868837,2.011876146146384,1.6866023908492314,10.966861884477145,315
AI Boom,SAP,0.515115878467973,0.24013832415940636,2.145079842091484,0.45951492174668895,2.424275784017038,315
