rmse,mae,mape,directional_accuracy,qlike,ticker,model,n_predictions
0.3584750864900459,0.29451660067450697,86.92034890720078,54.037267080745345,-0.03554343466692509,PLTR,random_forest,323.0
0.36649530454142165,0.2893624127958271,85.12425816686181,52.79503105590062,0.0075579312927353285,PLTR,xgboost,323.0
0.36264190800800106,0.28693649312014236,83.28774564610771,51.86335403726709,-0.03488155404708069,PLTR,lightgbm,323.0
0.3464746143684624,0.2567170984393024,68.66819523952377,51.86335403726709,0.20377434483416898,PLTR,knn,323.0
0.1395453889351093,0.09063563874447074,46.36588751189738,46.39498432601881,-1.5189901189668005,SAP,ridge,639.0
0.1384361186659843,0.0893973549885557,47.66153359291357,48.7460815047022,-1.5515402838167496,SAP,lasso,639.0
0.14839614255791414,0.09678908992326757,53.25818528227738,50.470219435736674,-1.4714953298034634,SAP,random_forest,639.0
0.15288095817682154,0.09998232786038416,52.99086771457026,51.2539184952978,-1.2409292462874373,SAP,xgboost,639.0
0.16063295017359416,0.10383360470044459,55.68775852975817,51.2539184952978,-1.1645918344389832,SAP,lightgbm,639.0
0.14982133351235888,0.09930015727895652,50.245897313835584,47.33542319749217,-1.2883294235858829,SAP,knn,639.0
0.25745203864368366,0.1411507923184443,52.26902972102315,51.724137931034484,,PANW,ridge,639.0
0.25475704671323846,0.1341802057017186,51.74897027143799,48.589341692789965,-0.5741492572034372,PANW,lasso,639.0
0.272198342493617,0.14981996213609905,56.55142940296734,51.88087774294671,-0.4945634236643741,PANW,random_forest,639.0
0.26795061042762514,0.15261237117052068,55.59178374826642,49.059561128526646,-0.4726342391324371,PANW,xgboost,639.0
0.27806371714534944,0.15524218795313596,57.351183727437196,50.15673981191222,-0.37859493749110007,PANW,lightgbm,639.0
0.2759049072027873,0.1598737883191664,58.794488988621595,50.0,0.18672835459050227,PANW,knn,639.0
0.21261553033999478,0.15818648382898176,50.788213435192056,45.98540145985402,-0.6159284815639976,CRWD,ridge,412.0
0.23118434934685572,0.19783561116515738,75.20441978115291,44.038929440389296,-0.6171157450469328,CRWD,lasso,412.0
0.24570451648971112,0.1964636351508143,71.17646617165043,53.284671532846716,-0.5237026796671687,CRWD,random_forest,412.0
0.26426245143272364,0.21083122427163115,74.32063274362399,49.39172749391727,-0.1928371870871579,CRWD,xgboost,412.0
0.2456631865068757,0.19382289981936948,68.11714684827656,49.87834549878345,-0.4533885651413786,CRWD,lightgbm,412.0
0.2191439131081349,0.16249202967952447,53.21661567961843,49.39172749391727,-0.5701680854249398,CRWD,knn,412.0
0.2636715273883625,0.20003032341616633,76.46370917480117,44.050632911392405,-0.4831595211854991,DDOG,ridge,396.0
0.28385800912718445,0.2339402188864581,95.78623180608083,52.911392405063296,-0.4800120378791606,DDOG,lasso,396.0
0.3754377957970833,0.2931997011580144,118.8576065348975,55.18987341772152,-0.28986051698331694,DDOG,random_forest,396.0
0.4591729953151663,0.3401796609656674,136.20852268651225,55.69620253164557,-0.12494678101374801,DDOG,xgboost,396.0
0.3950800130897065,0.30945488720178455,122.97374362313538,53.417721518987335,-0.15933969682134405,DDOG,lightgbm,396.0
0.3361771947192275,0.24782552394782217,93.53988289413935,52.40506329113924,-0.21262656259260745,DDOG,knn,396.0
0.22554041825296814,0.1518102676145955,46.37465373577667,35.57993730407524,-0.38608495601991694,ANET,ridge,639.0
0.2267345994902137,0.15507017145874674,48.33941488480232,46.70846394984326,-0.4445656124797834,ANET,lasso,639.0
0.27274568849801545,0.19038192347191135,60.33653222814337,42.63322884012539,-0.4212033824364924,ANET,random_forest,639.0
0.2578270516441316,0.18708918781494305,60.291400469913036,52.97805642633229,-0.31528199075255076,ANET,xgboost,639.0
0.24709344551454462,0.17957901843725788,58.13559621587324,52.507836990595614,-0.30726076301755817,ANET,lightgbm,639.0
0.2546966246460626,0.17894102950965216,52.87651395367181,48.589341692789965,0.2010306702610044,ANET,knn,639.0
0.2102937337512221,0.1536512403282781,41.363958065035455,45.29780564263323,-0.4093123015045272,MU,ridge,639.0
0.2264734755350447,0.1677523827723286,46.784676349589915,49.059561128526646,-0.3273042473372725,MU,lasso,639.0
0.2241066760001218,0.17112669113463946,49.94699858578493,48.589341692789965,-0.37625095927847,MU,random_forest,639.0
0.24384906215868046,0.18787430728031707,53.843998100129944,48.589341692789965,-0.22408021611357118,MU,xgboost,639.0
0.23725634538336018,0.1805486648584474,49.971787507606024,48.90282131661442,-0.24401446558297865,MU,lightgbm,639.0
0.23683734281860996,0.1767778629493356,48.52757691345141,48.589341692789965,-0.17653587570264606,MU,knn,639.0
0.24005382401116715,0.1724543265072628,54.74303428145537,44.98432601880878,-0.2705963604394456,AMD,ridge,639.0
0.24042904442205876,0.180014564232048,59.769253546102306,49.52978056426332,-0.30989244872851607,AMD,lasso,639.0
0.255230667768673,0.18564479193856528,56.993825906082485,51.724137931034484,-0.1999079121652461,AMD,random_forest,639.0
0.2724895968990603,0.1940786968889048,58.22005508488727,50.626959247648905,-0.03527049377192801,AMD,xgboost,639.0
