model,source,task,rmse,mae,directional_accuracy,mape,qlike
89,NB07,vol_5d,0.2191439131081349,0.1624920296795244,49.39172749391727,,
90,NB07,vol_5d,0.2636715273883625,0.2000303234161663,44.050632911392405,,
91,NB07,vol_5d,0.2838580091271844,0.2339402188864581,52.911392405063296,,
92,NB07,vol_5d,0.3754377957970833,0.2931997011580144,55.18987341772152,,
93,NB07,vol_5d,0.4591729953151663,0.3401796609656674,55.69620253164557,,
94,NB07,vol_5d,0.3950800130897065,0.3094548872017845,53.417721518987335,,
95,NB07,vol_5d,0.3361771947192275,0.2478255239478221,52.40506329113924,,
96,NB07,vol_5d,0.2255404182529681,0.1518102676145955,35.57993730407524,,
97,NB07,vol_5d,0.2267345994902137,0.1550701714587467,46.70846394984326,,
98,NB07,vol_5d,0.2727456884980154,0.1903819234719113,42.63322884012539,,
99,NB07,vol_5d,0.2578270516441316,0.187089187814943,52.97805642633229,,
100,NB07,vol_5d,0.2470934455145446,0.1795790184372578,52.507836990595614,,
101,NB07,vol_5d,0.2546966246460626,0.1789410295096521,48.589341692789965,,
102,NB07,vol_5d,0.2102937337512221,0.1536512403282781,45.29780564263323,,
103,NB07,vol_5d,0.2264734755350447,0.1677523827723286,49.059561128526646,,
104,NB07,vol_5d,0.2241066760001218,0.1711266911346394,48.589341692789965,,
105,NB07,vol_5d,0.2438490621586804,0.187874307280317,48.589341692789965,,
106,NB07,vol_5d,0.2372563453833601,0.1805486648584474,48.90282131661442,,
107,NB07,vol_5d,0.2368373428186099,0.1767778629493356,48.589341692789965,,
108,NB07,vol_5d,0.2400538240111671,0.1724543265072628,44.98432601880878,,
109,NB07,vol_5d,0.2404290444220587,0.180014564232048,49.52978056426332,,
110,NB07,vol_5d,0.255230667768673,0.1856447919385652,51.72413793103448,,
111,NB07,vol_5d,0.2724895968990603,0.1940786968889048,50.626959247648905,,
112,NB07,vol_5d,0.2652568836657598,0.1930571930987648,51.410658307210035,,
113,NB07,vol_5d,0.2729873839675821,0.1967554214655108,47.492163009404386,,
114,NB07,vol_5d,0.1769691958964135,0.1444604002512967,51.30890052356021,,
115,NB07,vol_5d,0.3382559798634575,0.2107853644324999,49.73821989528796,,
116,NB07,vol_5d,0.2342183526542977,0.2008440762814695,54.973821989528794,,
117,NB07,vol_5d,0.5192805133175533,0.2281677589030262,41.8848167539267,,
118,NB07,vol_5d,0.1712055602422575,0.1122052985922194,44.50261780104712,,
LSTM,NB09,vol_5d,0.2672055819886346,0.1673475322024872,49.2603550295858,,
GRU,NB09,vol_5d,0.2542216476913449,0.1616435631753944,51.03550295857988,,
LSTM,NB09,ret_5d,0.0664368792668121,0.0510520555583466,50.591715976331365,,
GRU,NB09,ret_5d,0.066429554136988,0.0507349092643106,52.51479289940828,,
Hybrid (ML+LSTM),NB10,vol_5d,0.2501823591470126,0.16655889912523553,49.49740815866577,53.65970051545737,-0.391199510083685
