ticker,model,distribution,aic,bic,log_likelihood,num_params,n_obs,param_mu,param_omega,param_alpha[1],param_beta[1],param_nu,param_eta,param_lambda,param_gamma[1],param_phi,param_d,param_beta
CRM,"GARCH(1,1)",ged,10252.761630078296,10281.923684714235,-5121.380815039148,5,2521,0.11139111691410085,0.08432369079684529,0.0830865171894515,0.9026879887291435,1.0886629498914728,,,,,,
CRM,"GJR-GARCH(1,1)",normal,10682.171073852402,10711.33312848834,-5336.085536926201,5,2521,0.0873721641903783,0.20052836044474356,0.1007666231982908,0.8385995745022616,,,,0.06874427658697056,,,
CRM,"GJR-GARCH(1,1)",t,10187.462178113561,10222.456643676689,-5087.731089056781,6,2521,0.10768274014739977,0.05639348039730516,0.026773160038253124,0.9282642092880237,4.196152863577789,,,0.06945104818615212,,,
CRM,"GJR-GARCH(1,1)",skewt,10184.76426820594,10225.591144696255,-5085.38213410297,7,2521,0.07513270095564416,0.05974581936275013,0.025366174054419956,0.927554376400818,,4.265318880562958,-0.05759979651133342,0.07228452985475144,,,
CRM,"GJR-GARCH(1,1)",ged,10241.315218778214,10276.309684341342,-5114.657609389107,6,2521,0.0999939231595444,0.06655024005005458,0.027253777287443347,0.9238384973370432,1.0931721665341543,,,0.06891710582436396,,,
CRM,"EGARCH(1,1)",normal,10625.273227868844,10654.435282504783,-5307.636613934422,5,2521,0.0499435727967763,0.05081694763086382,0.1431020345509016,0.9735126478123834,,,,-0.06152964385840253,,,
CRM,"EGARCH(1,1)",t,10155.542125791146,10190.536591354274,-5071.771062895573,6,2521,0.09599732662729732,0.029943751360240443,0.1315767539195541,0.9844645301166159,4.32249900946888,,,-0.05949120802598867,,,
CRM,"EGARCH(1,1)",skewt,10151.506133941322,10192.333010431637,-5068.753066970661,7,2521,0.05902558655979052,0.03255095949310339,0.13052407286162598,0.9830484838149333,,4.393039398422039,-0.06625096890942626,-0.0633952165859124,,,
CRM,"EGARCH(1,1)",ged,10211.707844160272,10246.7023097234,-5099.853922080136,6,2521,0.08809763367955231,0.03377485035924629,0.13090752654743706,0.9809562110842144,1.1100719156776135,,,-0.05986723430762409,,,
CRM,"FIGARCH(1,d,1)",normal,10637.413477602999,10666.575532238938,-5313.706738801499,5,2521,0.09752144073784677,0.4165195568673853,,,,,,,0.3182053441063546,0.3091343872956976,0.447702607209869
CRM,"FIGARCH(1,d,1)",t,10181.406863300155,10216.401328863283,-5084.703431650078,6,2521,0.12355228829371719,0.23999788815254938,,,4.437095468069629,,,,0.2824660716156767,0.3525862595138784,0.5045080694199023
CRM,"FIGARCH(1,d,1)",skewt,10179.684967615402,10220.511844105717,-5082.842483807701,7,2521,0.09697377646260577,0.24084115592456629,,,,4.485084984394021,-0.05079272810119135,,0.2832308081023935,0.3474416123521564,0.5008761657283481
CRM,"FIGARCH(1,d,1)",ged,10230.589408931552,10265.58387449468,-5109.294704465776,6,2521,0.1122102962830482,0.2801878795464498,,,1.1122371465081629,,,,0.2843906457137726,0.3240202959215285,0.4678921938757365
NOW,"GARCH(1,1)",normal,11485.637793145765,11508.967436854517,-5738.818896572882,4,2521,0.12346669531118423,0.21269292525685382,0.05588506448735887,0.9095749134792468,,,,,,,
NOW,"GARCH(1,1)",t,11134.925261124516,11164.087315760455,-5562.462630562258,5,2521,0.19712930362017314,0.1289106124125689,0.0697032333675079,0.9164107446847141,3.9681073604300163,,,,,,
NOW,"GARCH(1,1)",skewt,11125.927992189108,11160.922457752236,-5556.963996094554,6,2521,0.12911478144439628,0.1288748368087757,0.06726277654837336,0.9175895165663787,,4.039993466515034,-0.08885798312421174,,,,
NOW,"GARCH(1,1)",ged,11170.395523998857,11199.557578634796,-5580.197761999429,5,2521,0.20301846952168995,0.14659792708304026,0.06060247519943394,0.9156153556346139,1.117535916361049,,,,,,
NOW,"GJR-GARCH(1,1)",normal,11444.498937741542,11473.660992377481,-5717.249468870771,5,2521,0.08716430762373317,0.15106517779230405,1.3656810314864006e-11,0.9355897574907638,,,,0.07594267529750966,,,
NOW,"GJR-GARCH(1,1)",t,11109.06818589912,11144.062651462247,-5548.53409294956,6,2521,0.17210022445780193,0.10335375972190604,0.0014563414201802548,0.9347221228058002,4.131627153866947,,,0.09432650677608403,,,
NOW,"GJR-GARCH(1,1)",skewt,11093.570913396514,11134.397789886829,-5539.785456698257,7,2521,0.08717986188242843,0.11135932496998197,2.1388455566524813e-13,0.934453509575857,,4.218325948685007,-0.11298106684407827,0.09887791270945698,,,
NOW,"GJR-GARCH(1,1)",ged,11146.586725283876,11181.581190847004,-5567.293362641938,6,2521,0.18292927871525308,0.11245641217601435,1.0081261856137456e-19,0.9360196464934304,1.134519297593064,,,0.08300292554806935,,,
NOW,"EGARCH(1,1)",normal,11404.414380164468,11433.576434800407,-5697.207190082234,5,2521,0.0705735303147473,0.051167492187884994,0.07292322519735271,0.9731099244459132,,,,-0.0786960853288861,,,
NOW,"EGARCH(1,1)",t,11081.862365263876,11116.856830827004,-5534.931182631938,6,2521,0.1704282974650671,0.03903816180947936,0.10483319183181392,0.9802727906540681,4.219112760714809,,,-0.08483633790440326,,,
NOW,"EGARCH(1,1)",skewt,11066.413887484461,11107.240763974776,-5526.206943742231,7,2521,0.0882656534802106,0.044196503111247044,0.09786885784744295,0.9784212468475416,,4.314735571338997,-0.11406440831761408,-0.09189383662340334,,,
NOW,"EGARCH(1,1)",ged,11121.734645076642,11156.72911063977,-5554.867322538321,6,2521,0.17836744629984905,0.03914877797898081,0.09131316769081553,0.9780859318449711,1.1481881789758577,,,-0.07881793876316281,,,
NOW,"FIGARCH(1,d,1)",normal,11477.077223438799,11506.239278074738,-5733.538611719399,5,2521,0.13290000184384232,0.8684917701401494,,,,,,,0.287072914297611,0.22030093949228846,0.3816349132478636
NOW,"FIGARCH(1,d,1)",t,11130.879527852185,11165.873993415313,-5559.439763926092,6,2521,0.19655775606499043,0.40389346713572255,,,4.055521974310503,,,,0.23829340325852788,0.39055234444400705,0.5471931121120007
NOW,"FIGARCH(1,d,1)",skewt,11121.9193968299,11162.746273320216,-5553.95969841495,7,2521,0.13047799134094562,0.4095573480074574,,,,4.103436212646763,-0.08852794697098694,,0.23435325115358066,0.37954454867085424,0.5367943914203583
NOW,"FIGARCH(1,d,1)",ged,11166.879268670842,11201.87373423397,-5577.439634335421,6,2521,0.20357355577084726,0.44661712347542465,,,1.1211325168698076,,,,0.2792721537877516,0.3038744237646303,0.4879783998163361
PLTR,"GARCH(1,1)",normal,7828.766502937946,7849.645071098469,-3910.383251468973,4,1366,0.19211092368937546,2.7219682672345984,0.08584132556243179,0.7709111933191986,,,,,,,
PLTR,"GARCH(1,1)",t,7594.472635184633,7620.570845385287,-3792.2363175923165,5,1366,0.11611536838175836,0.7180727784130825,0.06624805988311752,0.900806673553221,3.865713326364285,,,,,,
PLTR,"GARCH(1,1)",skewt,7595.574146028217,7626.891998269001,-3791.7870730141085,6,1366,0.16713241330503015,0.7163929227199339,0.0654617896772762,0.9017224699287691,,3.859262445017458,0.03529272087368266,,,,
PLTR,"GARCH(1,1)",ged,7627.875132938553,7653.973343139207,-3808.9375664692766,5,1366,0.10580462862985908,1.109417512497696,0.06704489981064267,0.8714950127148301,1.0972728258789726,,,,,,
PLTR,"GJR-GARCH(1,1)",normal,7830.721648941243,7856.819859141897,-3910.3608244706215,5,1366,0.19015561125526664,2.7477364123105232,0.08374933025276779,0.768564930651547,,,,0.0066609582201043365,,,
PLTR,"GJR-GARCH(1,1)",t,7596.434189173255,7627.752041414039,-3792.2170945866274,6,1366,0.11471012699283717,0.7023242688929069,0.06385903846788635,0.9018015703367516,3.8620303693482216,,,0.004901636249228269,,,
PLTR,"GJR-GARCH(1,1)",skewt,7597.532969988635,7634.07046426955,-3791.7664849943176,7,1366,0.16584742893017745,0.6989171971408799,0.06292934696580745,0.902843503183328,,3.8556057033403786,0.035364923643245914,0.005021669950240154,,,
PLTR,"GJR-GARCH(1,1)",ged,7629.862392068396,7661.18024430918,-3808.931196034198,6,1366,0.10415447502151946,1.114010416981873,0.06607891711957925,0.8707546945001817,1.0971969332276028,,,0.003258911287231677,,,
